date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Free Cash Flow,Normalized EBITDA,Gross Profit,Net Income,Basic EPS
2020-12-18,212.4801483154297,213.5494079519118,209.98199055715847,212.4801483154297,63354900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-21,211.46922755343383,217.73893958852065,211.206770214282,216.36834716796875,37181900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-22,216.46552689624855,219.32335244107836,215.6490095498075,217.6805877685547,22612200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-23,216.87378709534565,217.31120604599622,214.62835696069132,214.8422088623047,18699600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-24,215.2310229271021,217.35981196862792,215.0171710249762,216.5238494873047,10550600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-28,218.17634950274154,219.7121883817532,216.78632684264076,218.67210388183594,17933500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-29,219.9843640994579,220.8300418189081,217.33067499780245,217.88473510742188,17403200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-30,218.93452525220576,219.32335363282814,215.27962746807205,215.48374938964844,20272300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-12-31,215.5032181528263,216.7668845719454,213.53967540411162,216.20309448242188,20942100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-04,216.31002902818813,216.76689317347763,208.8058107326398,211.60531616210938,37130100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-05,211.1873375428124,212.4121286429149,209.67094364010367,211.8094482421875,23823000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-06,206.23958661312236,210.4388444365734,206.01601954812824,206.31735229492188,35930700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-07,208.05730004894198,213.2091611954043,207.7365370259951,212.18850708007812,27694500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-08,212.5676407035845,214.41454246405092,210.9637659939717,213.4813690185547,22956200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-11,212.36352295205353,212.79122683836488,210.67215253771937,211.41091918945312,23031300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-12,210.44856329689247,211.03179850453327,207.35745526034373,208.9224395751953,23249300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-13,208.03786923018964,210.70127320501263,207.95037357368358,210.2930145263672,20087100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-14,209.87506214262433,211.38174076469514,206.79366919456726,207.0658416748047,29480800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-15,207.5518540005242,208.51417277382635,206.10349601818479,206.70616149902344,31746500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-19,207.7753997606702,210.91511275956933,206.68671001468832,210.3902130126953,30480900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-20,211.61502395509632,219.47889530483448,211.216480381393,218.06942749023438,37777300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-21,218.41938163709384,219.97466578703512,216.20311136441526,218.6818389892578,30709400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-22,220.7328191844701,223.6392501187722,219.488598042896,219.6343994140625,30172700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-25,222.71582104779566,223.35737682919336,217.9527877593804,223.11436462402344,33152100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-26,225.37925644015695,227.6344021542826,223.64901060091665,225.83612060546875,49169600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-27,231.34762221674504,233.7194237420492,223.70731779730386,226.39016723632812,69870600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-28,229.02443810895394,235.8579405755906,228.51896853632925,232.2516326904297,49111200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-01-29,229.39379580730105,231.36705363444486,224.88349008350272,225.4764404296875,42503100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-01,228.4897768471453,235.72182192174537,225.93328388780654,232.95147705078125,33314200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-02,234.55539017408645,235.53715417171796,232.01834208551142,232.81541442871094,25916300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-03,232.87373500492868,238.2394336295494,232.57238742185817,236.20785522460938,27158100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-04,235.8773698060661,236.441159900549,233.65136970610016,235.2455291748047,25296100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-05,235.4593665749948,236.48002073768896,233.69996069560014,235.43020629882812,18054800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-08,236.35362818804623,236.86881279658618,234.0790378598941,235.69264221191406,22211900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-09,235.10944295023674,237.91866344200366,234.63314852190493,236.9563446044922,23565000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-10,238.1519726203969,239.04625579893354,234.1568511802897,236.0329132080078,22186700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-11,237.93809183492246,238.2977451260854,235.38159887612824,237.6562042236328,15751100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-12,237.11184304491474,238.44355991037713,235.94538751837288,238.14222717285156,16561100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-16,238.18110175151352,239.25036129921784,236.13007831530737,236.88827514648438,26728500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-17,235.1151125861895,238.028223265994,234.7448785065687,237.92105102539062,21653500,0.56,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-18,235.5827379149287,237.65796033438593,234.6669052184924,237.5215606689453,16925600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-19,237.48261207582726,237.58978431080664,234.00439806768242,234.7740936279297,25262600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-22,231.31534385776501,231.8122251467219,226.42441628886894,228.48016357421875,36446900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2021-02-23,224.4076563922922,228.7919504301398,222.84879034336703,227.27206420898438,30228700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
